mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,dbe_o,NSP,abserrPpm,sumintens,relativeintens,avemass,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
-1000,2068788,113.097066,113.097189,0.123,1.086,C7 H13 O,7,13,0,1,0,14,2,0.142857143,16,0,0,1.086,1.00096E+11,2.0668E-05,400.2868923,0.076923077,1,-1.714285714,0.029096332,113,0.78092526,112,0.030846173,113,0.133144127,113,0.123338488,113
-1000,1907769,116.014241,116.014187,-0.054,-0.467,C7 H2 N O,7,2,1,1,0,3,0.428571429,0.142857143,17,6,1,0.467,1.00096E+11,1.90593E-05,400.2868923,1,7,0.285714286,0.115355478,116,0.886575546,115,0.053866939,116,0.051069481,116,0.041010935,116
448.56,2293963,121.029601,121.029503,-0.098,-0.807,C7 H5 O2,7,5,0,2,0,6,0.857142857,0.285714286,16,3,0,0.807,1.00096E+11,2.29176E-05,400.2868923,0.666666667,5,-0.285714286,0.105639624,121,0.910199687,120,0.041492924,121,0.067979917,121,0.057486539,121
-1000,2051069,129.092111,129.092103,-0.007,-0.057,C7 H13 O2,7,13,0,2,0,14,2,0.285714286,16,-1,0,0.057,1.00096E+11,2.0491E-05,400.2868923,0,1,-1.428571429,0.052042395,129,0.910199687,128,0.016377554,129,0.133143127,129,0.121950713,129
477.74,2362656,135.045214,135.045153,-0.061,-0.455,C8 H7 O2,8,7,0,2,0,8,1,0.25,18,3,0,0.455,1.00096E+11,2.36038E-05,400.2868923,0.571428571,5,-0.5,0.105639624,135,1.003370625,134,0.034064506,135,0.088085682,135,0.076377133,135
-1000,1964474,138.985984,138.985924,-0.06,-0.429,C6 H3 O2 S,6,3,0,2,1,4,0.666666667,0.333333333,14,3,1,0.429,1.00096E+11,1.96259E-05,400.2868923,0.75,5,0.333333333,0.169268924,139,1.093196736,138,0.095605163,139,0.030109507,139,0.018059288,139
546.15,1926742,144.030323,144.030231,-0.091,-0.634,C5 H6 N O4,5,6,1,4,0,7,1.4,0.8,13,-1,1,0.634,1.00096E+11,1.92489E-05,400.2868923,0,3,0.8,0.130594443,144,1.08805497,143,0.054257154,144,0.07602016,144,0.063532595,144
-1000,3094368,145.05069,145.050632,-0.058,-0.398,C6 H9 O4,6,9,0,4,0,10,1.666666667,0.666666667,14,-2,0,0.398,1.00096E+11,3.09139E-05,400.2868923,0,2,-0.333333333,0.111332832,145,1.075576613,144,0.034454721,145,0.096745559,145,0.084169525,145
81.35,20915352,147.045202,147.045153,-0.049,-0.333,C9 H7 O2,9,7,0,2,0,8,0.888888889,0.222222222,20,4,0,0.333,1.00096E+11,0.000208952,400.2868923,0.625,6,-0.444444444,0.119038931,147,1.096541562,146,0.041103708,147,0.091900645,147,0.079151683,147
169.49,6717198,149.024466,149.024418,-0.049,-0.328,C8 H5 O3,8,5,0,3,0,6,0.75,0.375,18,3,0,0.328,1.00096E+11,6.71074E-05,400.2868923,0.692307692,6,0,0.141983996,149,1.13264406,148,0.062999745,149,0.07179488,149,0.058874314,149
