mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,dbe_o,NSP,abserrPpm,sumintens,relativeintens,avemass,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
-1000,2169746,124.99938,124.999265,-0.115,-0.92,C4 H N2 O3,4,1,2,3,0,2,0.5,0.75,12,2,2,0.92,1.14141E+11,1.90093E-05,395.0801264,3,5,2.5,0.140310296,125,0.971259891,124,0.074059587,125,0.039003958,125,0.028166397,125
428.16,1940892,139.992431,139.992406,-0.025,-0.177,C4 H2 N3 O S,4,2,3,1,1,3,0.75,0.25,13,4,4,0.177,1.14141E+11,1.70043E-05,395.0801264,-1,5,2.5,0.163910771,140,1.094529308,139,0.089713565,140,0.036911481,140,0.024773999,140
490.9,2070773,141.09199,141.092103,0.114,0.805,C8 H13 O2,8,13,0,2,0,14,1.75,0.25,18,0,0,0.805,1.14141E+11,1.81422E-05,395.0801264,0.142857143,2,-1.25,0.065441703,141,1.003370625,140,0.009338352,141,0.136958089,141,0.124725263,141
-1000,2271663,145.050513,145.050632,0.12,0.825,C6 H9 O4,6,9,0,4,0,10,1.666666667,0.666666667,14,-2,0,0.825,1.14141E+11,1.99022E-05,395.0801264,0,2,-0.333333333,0.111332832,145,1.075576613,144,0.034454721,145,0.096745559,145,0.084169525,145
6.71,31095798,147.045041,147.045153,0.112,0.763,C9 H7 O2,9,7,0,2,0,8,0.888888889,0.222222222,20,4,0,0.763,1.14141E+11,0.000272433,395.0801264,0.625,6,-0.444444444,0.119038931,147,1.096541562,146,0.041103708,147,0.091900645,147,0.079151683,147
-1000,7437948,149.024308,149.024418,0.11,0.737,C8 H5 O3,8,5,0,3,0,6,0.75,0.375,18,3,0,0.737,1.14141E+11,6.51646E-05,395.0801264,0.692307692,6,0,0.141983996,149,1.13264406,148,0.062999745,149,0.07179488,149,0.058874314,149
3.14,65148552,149.060691,149.060803,0.112,0.75,C9 H9 O2,9,9,0,2,0,10,1.111111111,0.222222222,20,3,0,0.75,1.14141E+11,0.000570772,395.0801264,0.5,5,-0.666666667,0.105639624,149,1.096541562,148,0.026636088,149,0.108191447,149,0.095267727,149
-1000,1939150,151.03996,151.040068,0.108,0.712,C8 H7 O3,8,7,0,3,0,8,1,0.375,18,2,0,0.712,1.14141E+11,1.69891E-05,395.0801264,0.538461538,5,-0.25,0.128584689,151,1.13264406,150,0.048532125,151,0.088085682,151,0.074990357,151
-1000,5243740,151.076356,151.076453,0.097,0.643,C9 H11 O2,9,11,0,2,0,12,1.333333333,0.222222222,20,2,0,0.643,1.14141E+11,4.59409E-05,395.0801264,0.375,4,-0.888888889,0.092240317,151,1.096541562,150,0.012168469,151,0.12448225,151,0.11138377,151
22.86,29645920,153.055617,153.055718,0.1,0.655,C8 H9 O3,8,9,0,3,0,10,1.25,0.375,18,1,0,0.655,1.14141E+11,0.000259731,395.0801264,0.384615385,4,-0.5,0.115185382,153,1.13264406,152,0.034064506,153,0.104376485,153,0.091106401,153
2.54,72498288,153.091996,153.092103,0.108,0.703,C9 H13 O2,9,13,0,2,0,14,1.555555556,0.222222222,20,1,0,0.703,1.14141E+11,0.000635164,395.0801264,0.25,3,-1.111111111,0.07884101,153,1.096541562,152,0.002299151,153,0.140773052,153,0.127499814,153
521.38,6780015,153.092226,153.092103,-0.122,-0.8,C9 H13 O2,9,13,0,2,0,14,1.555555556,0.222222222,20,1,0,0.8,1.14141E+11,5.94003E-05,395.0801264,0.25,3,-1.111111111,0.07884101,153,1.096541562,152,0.002299151,153,0.140773052,153,0.127499814,153
400.71,2535284,153.103284,153.103337,0.052,0.343,C8 H13 N2 O,8,13,2,1,0,14,1.75,0.125,20,2,2,0.343,1.14141E+11,2.22119E-05,395.0801264,0.090909091,3,-0.75,0.067619554,153,1.085394786,152,0.013526561,153,0.152010623,153,0.138736411,153
365.31,2431886,154.992035,154.992072,0.037,0.24,C5 H3 N2 O2 S,5,3,2,2,1,4,0.8,0.4,14,3,3,0.24,1.14141E+11,2.1306E-05,395.0801264,1,5,1.6,0.180993532,155,1.211324387,154,0.098846372,155,0.041346078,155,0.02790811,155
27.92,43077552,155.071263,155.071368,0.105,0.674,C8 H11 O3,8,11,0,3,0,12,1.5,0.375,18,0,0,0.674,1.14141E+11,0.000377406,395.0801264,0.230769231,3,-0.75,0.101786075,155,1.13264406,154,0.019596887,155,0.120667287,155,0.107222445,155
-1000,2404928,155.107652,155.107753,0.102,0.655,C9 H15 O2,9,15,0,2,0,16,1.777777778,0.222222222,20,0,0,0.655,1.14141E+11,2.10698E-05,395.0801264,0.125,2,-1.333333333,0.065441703,155,1.096541562,154,0.01676677,155,0.157063854,155,0.143615857,155
-1000,4089659,157.086918,157.087018,0.1,0.639,C8 H13 O3,8,13,0,3,0,14,1.75,0.375,18,-1,0,0.639,1.14141E+11,3.58299E-05,395.0801264,0.076923077,2,-1,0.088386768,157,1.13264406,156,0.005129267,157,0.136958089,157,0.123338488,157
24.23,23683916,157.123301,157.123403,0.102,0.649,C9 H17 O2,9,17,0,2,0,18,2,0.222222222,20,-1,0,0.649,1.14141E+11,0.000207497,395.0801264,0,1,-1.555555556,0.052042395,157,1.096541562,156,0.031234389,157,0.173354657,157,0.159731901,157
