mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,dbe_o,NSP,abserrPpm,sumintens,relativeintens,avemass,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
-1000,2298812,115.039955,115.040068,0.112,0.977,C5 H7 O3,5,7,0,3,0,8,1.6,0.6,12,-1,0,0.977,64085543474,3.5871E-05,373.6465182,0.142857143,2,-0.4,0.088386768,115,0.853131248,114,0.02741452,115,0.076640795,115,0.066666706,115
573.44,2045906,117.03053,117.030566,0.035,0.302,C3 H5 N2 O3,3,5,2,3,0,6,2,1,10,-1,2,0.302,64085543474,3.19246E-05,373.6465182,3,2,2,0.100111375,117,0.878087962,116,0.038084147,117,0.067771601,117,0.057624934,117
548.09,2029090,118.050957,118.050967,0.01,0.081,C4 H8 N O3,4,8,1,3,0,9,2.25,0.75,11,-2,1,0.081,64085543474,3.16622E-05,373.6465182,-1,1,0,0.080849764,118,0.865609605,117,0.018281714,118,0.088497,118,0.078261864,118
-1000,2101427,124.051606,124.051635,0.03,0.241,C5 H6 N3 O,5,6,3,1,0,7,1.4,0.2,15,3,3,0.241,64085543474,3.2791E-05,373.6465182,0.333333333,4,0.8,0.086882164,124,0.91153226,123,0.021133707,124,0.091072694,124,0.080317293,124
686.04,1974966,127.022362,127.02231,-0.052,-0.41,C6 H7 O S,6,7,0,1,1,8,1.333333333,0.166666667,14,2,1,0.41,64085543474,3.08177E-05,373.6465182,0.333333333,3,-0.666666667,0.119524246,127,0.963922308,126,0.052201305,127,0.062692112,127,0.051679151,127
481.11,2402030,132.993073,132.993117,0.044,0.331,C7 H O3,7,1,0,3,0,2,0.285714286,0.428571429,16,4,0,0.331,64085543474,3.74816E-05,373.6465182,1,7,0.571428571,0.155384303,133,1.039474115,132,0.084896781,133,0.035397312,133,0.023866676,133
537.39,2121155,134.061003,134.061137,0.134,1,C8 H8 N O,8,8,1,1,0,9,1.125,0.125,19,4,1,1,64085543474,3.30988E-05,373.6465182,0.538461538,5,-0.5,0.088556863,134,0.979746484,133,0.017503282,134,0.10375685,134,0.092133616,134
-1000,2040048,136.981523,136.981507,-0.015,-0.111,C5 H N2 O S,5,1,2,1,1,2,0.4,0.2,14,5,3,0.111,64085543474,3.18332E-05,373.6465182,1.666666667,6,1.6,0.171447774,137,1.082050951,136,0.098846372,137,0.025055275,137,0.013178842,137
-1000,2148868,139.019082,139.018938,-0.143,-1.032,C10 H3 O,10,3,0,1,0,4,0.4,0.1,22,8,0,1.032,64085543474,3.35312E-05,373.6465182,0.894736842,9,-0.2,0.136291788,139,1.060439064,138,0.062610529,139,0.063134002,139,0.051080921,139
388.26,2244690,143.017364,143.017224,-0.14,-0.979,C6 H7 O2 S,6,7,0,2,1,8,1.333333333,0.333333333,14,1,1,0.979,64085543474,3.50265E-05,373.6465182,0.25,3,-0.333333333,0.14247031,143,1.093196736,142,0.066669924,143,0.062691112,143,0.050291375,143
