mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,dbe_o,NSP,abserrPpm,sumintens,relativeintens,avemass,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
527.72,1970083,119.050132,119.050238,0.107,0.896,C8 H7 O,8,7,0,1,0,8,1,0.125,18,4,0,0.896,2.96533E+11,6.64372E-06,439.2748877,0.6,5,-0.75,0.082694559,119,0.874097189,118,0.019596887,119,0.088085682,119,0.077763908,119
-1000,2325679,121.029577,121.029503,-0.074,-0.611,C7 H5 O2,7,5,0,2,0,6,0.857142857,0.285714286,16,3,0,0.611,2.96533E+11,7.8429E-06,439.2748877,0.666666667,5,-0.285714286,0.105639624,121,0.910199687,120,0.041492924,121,0.067979917,121,0.057486539,121
-1000,1995702,123.00886,123.008768,-0.092,-0.749,C6 H3 O3,6,3,0,3,0,4,0.666666667,0.5,14,2,0,0.749,2.96533E+11,6.73012E-06,439.2748877,0.777777778,5,0.333333333,0.128584689,123,0.946302185,122,0.063388961,123,0.047874153,123,0.037209169,123
400.55,2798690,135.045212,135.045153,-0.059,-0.436,C8 H7 O2,8,7,0,2,0,8,1,0.25,18,3,0,0.436,2.96533E+11,9.43804E-06,439.2748877,0.571428571,5,-0.5,0.105639624,135,1.003370625,134,0.034064506,135,0.088085682,135,0.076377133,135
-1000,1926543,143.046147,143.046216,0.068,0.477,C5 H7 N2 O3,5,7,2,3,0,8,1.6,0.6,14,0,2,0.477,2.96533E+11,6.49689E-06,439.2748877,-0.333333333,3,0.8,0.113510683,143,1.064429837,142,0.037694931,143,0.091692328,143,0.079290079,143
558.38,2868142,145.050727,145.050632,-0.095,-0.654,C6 H9 O4,6,9,0,4,0,10,1.666666667,0.666666667,14,-2,0,0.654,2.96533E+11,9.67225E-06,439.2748877,0,2,-0.333333333,0.111332832,145,1.075576613,144,0.034454721,145,0.096745559,145,0.084169525,145
151.85,9482769,147.045245,147.045153,-0.092,-0.625,C9 H7 O2,9,7,0,2,0,8,0.888888889,0.222222222,20,4,0,0.625,2.96533E+11,3.19788E-05,439.2748877,0.625,6,-0.444444444,0.119038931,147,1.096541562,146,0.041103708,147,0.091900645,147,0.079151683,147
320.33,3828916,149.024481,149.024418,-0.063,-0.423,C8 H5 O3,8,5,0,3,0,6,0.75,0.375,18,3,0,0.423,2.96533E+11,1.29123E-05,439.2748877,0.692307692,6,0,0.141983996,149,1.13264406,148,0.062999745,149,0.07179488,149,0.058874314,149
-1000,21518530,149.060857,149.060803,-0.054,-0.363,C9 H9 O2,9,9,0,2,0,10,1.111111111,0.222222222,20,3,0,0.363,2.96533E+11,7.25671E-05,439.2748877,0.5,5,-0.666666667,0.105639624,149,1.096541562,148,0.026636088,149,0.108191447,149,0.095267727,149
575.35,1994437,149.071946,149.072036,0.091,0.609,C8 H9 N2 O,8,9,2,1,0,10,1.25,0.125,20,4,2,0.609,2.96533E+11,6.72585E-06,439.2748877,0.454545455,5,-0.25,0.094419167,149,1.085395778,148,0.015409678,149,0.119428018,149,0.106503324,149
-1000,2544663,149.994663,149.994514,-0.149,-0.992,C5 N3 O3,5,0,3,3,0,1,0.2,0.6,15,4,3,0.992,2.96533E+11,8.58138E-06,439.2748877,5,7,2.8,0.172971214,150,1.170080123,149,0.093472803,150,0.042199286,150,0.029194612,150
414.72,1978785,150.023181,150.023038,-0.143,-0.953,C4 H8 N O3 S,4,8,1,3,1,9,2.25,0.75,11,-2,2,0.953,2.96533E+11,6.67307E-06,439.2748877,-5,1,0.5,0.144479064,150,1.14177759,149,0.064965536,150,0.070732355,150,0.057725207,150
742.95,2033948,151.014845,151.014916,0.071,0.47,C6 H3 N2 O3,6,3,2,3,0,4,0.666666667,0.5,16,3,2,0.47,2.96533E+11,6.85909E-06,439.2748877,1,6,1.333333333,0.153708604,151,1.157600774,150,0.073669371,151,0.062925686,151,0.049832542,151
-1000,2115750,151.040076,151.040068,-0.008,-0.053,C8 H7 O3,8,7,0,3,0,8,1,0.375,18,2,0,0.053,2.96533E+11,7.13496E-06,439.2748877,0.538461538,5,-0.25,0.128584689,151,1.13264406,150,0.048532125,151,0.088085682,151,0.074990357,151
190.15,6042330,153.05579,153.055718,-0.072,-0.471,C8 H9 O3,8,9,0,3,0,10,1.25,0.375,18,1,0,0.471,2.96533E+11,2.03766E-05,439.2748877,0.384615385,4,-0.5,0.115185382,153,1.13264406,152,0.034064506,153,0.104376485,153,0.091106401,153
379.89,3251945,153.091955,153.092103,0.148,0.969,C9 H13 O2,9,13,0,2,0,14,1.555555556,0.222222222,20,1,0,0.969,2.96533E+11,1.09666E-05,439.2748877,0.25,3,-1.111111111,0.07884101,153,1.096541562,152,0.002299151,153,0.140773052,153,0.127499814,153
91.06,15691497,153.092154,153.092103,-0.051,-0.332,C9 H13 O2,9,13,0,2,0,14,1.555555556,0.222222222,20,1,0,0.332,2.96533E+11,5.29165E-05,439.2748877,0.25,3,-1.111111111,0.07884101,153,1.096541562,152,0.002299151,153,0.140773052,153,0.127499814,153
-1000,6494795,155.07142,155.071368,-0.053,-0.339,C8 H11 O3,8,11,0,3,0,12,1.5,0.375,18,0,0,0.339,2.96533E+11,2.19024E-05,439.2748877,0.230769231,3,-0.75,0.101786075,155,1.13264406,154,0.019596887,155,0.120667287,155,0.107222445,155
-1000,1942595,156.975458,156.975359,-0.098,-0.626,C9 H O S,9,1,0,1,1,2,0.222222222,0.111111111,20,8,1,0.626,2.96533E+11,6.55102E-06,439.2748877,1,9,0.222222222,0.199921088,157,1.243436112,156,0.116722768,157,0.025263592,157,0.011653671,157
-1000,2132685,159.066335,159.066282,-0.053,-0.331,C7 H11 O4,7,11,0,4,0,12,1.714285714,0.571428571,16,-2,0,0.331,2.96533E+11,7.19207E-06,439.2748877,0,2,-0.571428571,0.111332832,159,1.16874755,158,0.027026304,159,0.116851324,159,0.103060119,159
