mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,dbe_o,NSP,abserrPpm,sumintens,relativeintens,avemass,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
-1000,2094289,101.003255,101.003288,0.034,0.332,C7 H O,7,1,0,1,0,2,0.285714286,0.142857143,16,6,0,0.332,1.4779E+11,1.41707E-05,447.7206444,1,7,0,0.109493174,101,0.780926252,100,0.055960543,101,0.035398313,101,0.026641227,101
777.43,1983397,130.029848,130.029837,-0.01,-0.079,C8 H4 N O,8,4,1,1,0,5,0.625,0.125,19,6,1,0.079,1.4779E+11,1.34203E-05,447.7206444,0.846153846,7,0,0.115355478,130,0.979746484,129,0.046438521,130,0.071175245,130,0.059901529,130
-1000,2015338,135.008732,135.008768,0.036,0.265,C7 H3 O3,7,3,0,3,0,4,0.571428571,0.428571429,16,3,0,0.265,1.4779E+11,1.36365E-05,447.7206444,0.818181818,6,0.285714286,0.141983996,135,1.039473123,134,0.070428163,135,0.051689115,135,0.03998372,135
-1000,1994105,143.03492,143.034982,0.062,0.434,C6 H7 O4,6,7,0,4,0,8,1.333333333,0.666666667,14,-1,0,0.434,1.4779E+11,1.34928E-05,447.7206444,0.25,3,0,0.124732139,143,1.075576613,142,0.048922341,143,0.080454757,143,0.068053481,143
611.28,1916459,145.032797,145.032874,0.078,0.535,C6 H9 O2 S,6,9,0,2,1,10,1.666666667,0.333333333,14,0,1,0.535,1.4779E+11,1.29674E-05,447.7206444,0,2,-0.666666667,0.129071003,145,1.093196736,144,0.052202305,145,0.078981914,145,0.066407419,145
-1000,2038319,145.050789,145.050632,-0.157,-1.083,C6 H9 O4,6,9,0,4,0,10,1.666666667,0.666666667,14,-2,0,1.083,1.4779E+11,1.3792E-05,447.7206444,0,2,-0.333333333,0.111332832,145,1.075576613,144,0.034454721,145,0.096745559,145,0.084169525,145
571.13,2068891,146.035866,146.035985,0.119,0.814,C7 H4 N3 O,7,4,3,1,0,5,0.714285714,0.142857143,19,6,3,0.814,1.4779E+11,1.39988E-05,447.7206444,1,7,0.857142857,0.127080085,146,1.097874135,145,0.04967973,146,0.082411817,146,0.069750351,146
552.41,1939554,150.030785,150.0309,0.115,0.767,C6 H4 N3 O2,6,4,3,2,0,5,0.833333333,0.333333333,17,4,3,0.767,1.4779E+11,1.31237E-05,447.7206444,1,6,1.333333333,0.136625843,150,1.133976633,149,0.057108147,150,0.078596854,150,0.065589025,150
-1000,2044526,156.077919,156.07785,-0.069,-0.44,C6 H10 N3 O2,6,10,3,2,0,11,1.833333333,0.333333333,17,1,3,0.44,1.4779E+11,1.3834E-05,447.7206444,-0.5,3,0.333333333,0.096427922,156,1.133976633,155,0.013705289,156,0.127469261,156,0.113937156,156
430.86,1957076,157.007675,157.007722,0.048,0.303,C5 H5 N2 O2 S,5,5,2,2,1,6,1.2,0.4,14,2,3,0.303,1.4779E+11,1.32422E-05,447.7206444,0,4,1.2,0.167594225,157,1.211324387,156,0.084378752,157,0.05763688,157,0.044024154,157
-1000,2040162,157.044002,157.044108,0.105,0.671,C6 H9 N2 O S,6,9,2,1,1,10,1.666666667,0.166666667,16,2,3,0.671,1.4779E+11,1.38044E-05,447.7206444,-0.2,3,0,0.131248854,157,1.175220896,156,0.048014096,157,0.094034448,157,0.080418567,157
545.34,2082276,157.050722,157.050632,-0.09,-0.571,C7 H9 O4,7,9,0,4,0,10,1.428571429,0.571428571,16,-1,0,0.571,1.4779E+11,1.40894E-05,447.7206444,0.2,3,-0.285714286,0.124732139,157,1.16874755,156,0.041493923,157,0.100560522,157,0.086944075,157
-1000,1961194,166.062213,166.0622,-0.012,-0.075,C7 H8 N3 O2,7,8,3,2,0,9,1.285714286,0.285714286,19,3,3,0.075,1.4779E+11,1.32701E-05,447.7206444,0.333333333,5,0.571428571,0.123226536,166,1.22714757,165,0.03521211,166,0.114993421,166,0.100595663,166
-1000,2034378,169.050702,169.050632,-0.069,-0.41,C8 H9 O4,8,9,0,4,0,10,1.25,0.5,18,0,0,0.41,1.4779E+11,1.37653E-05,447.7206444,0.333333333,4,-0.25,0.138131446,169,1.261918488,168,0.048533125,169,0.104375484,169,0.089718626,169
12.85,48169172,171.011988,171.012139,0.15,0.879,C7 H7 O3 S,7,7,0,3,1,8,1.142857143,0.428571429,16,1,1,0.879,1.4779E+11,0.000325929,447.7206444,0.333333333,4,0,0.178814682,171,1.315641108,170,0.088176745,171,0.066506074,171,0.051679151,171
494.87,2535152,171.066126,171.066282,0.157,0.915,C8 H11 O4,8,11,0,4,0,12,1.5,0.5,18,-1,0,0.915,1.4779E+11,1.71537E-05,447.7206444,0.166666667,3,-0.5,0.124732139,171,1.261918488,170,0.034065505,171,0.120666287,171,0.105834669,171
549.67,2532145,173.064147,173.064174,0.027,0.158,C8 H13 O2 S,8,13,0,2,1,14,1.75,0.25,18,0,1,0.158,1.4779E+11,1.71334E-05,447.7206444,0,2,-1,0.129071003,173,1.27953861,172,0.037345469,173,0.119193444,173,0.104188607,173
-1000,2301693,177.019231,177.019332,0.101,0.572,C9 H5 O4,9,5,0,4,0,6,0.666666667,0.444444444,20,3,0,0.572,1.4779E+11,1.5574E-05,447.7206444,0.714285714,7,0.222222222,0.178329368,177,1.355089425,176,0.084507565,177,0.075608842,177,0.060261089,177
-1000,1973119,177.022798,177.022704,-0.094,-0.534,C6 H9 O4 S,6,9,0,4,1,10,1.666666667,0.666666667,14,-2,1,0.534,1.4779E+11,1.33508E-05,447.7206444,-0.333333333,2,0,0.174961133,177,1.351743606,176,0.081137543,177,0.078981914,177,0.063633869,177
