mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,dbe_o,NSP,abserrPpm,sumintens,relativeintens,avemass,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
-1000,2223796,120.008982,120.009102,0.12,0.998,C6 H2 N O2,6,2,1,2,0,3,0.5,0.333333333,15,4,1,0.998,1.12646E+11,1.97414E-05,387.3204028,1,6,0.666666667,0.124901235,120,0.922678044,119,0.061295356,120,0.047254518,120,0.036849609,120
-1000,1916017,127.01478,127.014916,0.136,1.069,C4 H3 N2 O3,4,3,2,3,0,4,1,0.75,12,1,2,1.069,1.12646E+11,1.70092E-05,387.3204028,1,4,2,0.12690999,127,0.971258899,126,0.059590968,127,0.055295761,127,0.044283441,127
-1000,2074940,144.06649,144.066617,0.127,0.881,C6 H10 N O3,6,10,1,3,0,11,1.833333333,0.5,15,-1,1,0.881,1.12646E+11,1.842E-05,387.3204028,-0.142857143,2,-0.333333333,0.094249072,144,1.05195148,143,0.017892498,144,0.112417728,144,0.099927008,144
762.24,1972657,153.009464,153.009436,-0.027,-0.179,C9 H N2 O,9,1,2,1,0,2,0.222222222,0.111111111,22,9,2,0.179,1.12646E+11,1.7512E-05,387.3204028,1.153846154,10,0.666666667,0.161415703,153,1.178566715,152,0.080319357,153,0.058079771,153,0.0448137,153
523.05,2249631,153.12852,153.128489,-0.031,-0.205,C10 H17 O,10,17,0,1,0,18,1.8,0.1,22,1,0,0.205,1.12646E+11,1.99708E-05,387.3204028,0.157894737,2,-1.6,0.042495639,153,1.060438072,152,0.038663806,153,0.17717062,153,0.163894227,153
-1000,2110140,154.025674,154.025815,0.14,0.91,C5 H4 N3 O3,5,4,3,3,0,5,1,0.6,15,2,3,0.91,1.12646E+11,1.87325E-05,387.3204028,1,5,2,0.146171601,154,1.170079131,153,0.064536565,154,0.074781892,154,0.0614277,154
-1000,1947479,155.046121,155.046216,0.094,0.609,C6 H7 N2 O3,6,7,2,3,0,8,1.333333333,0.5,16,1,2,0.609,1.12646E+11,1.72885E-05,387.3204028,0.2,4,0.666666667,0.12690999,155,1.157600774,154,0.044734132,155,0.095507291,155,0.082064629,155
194.96,3753278,159.084888,159.08491,0.022,0.138,C8 H15 O S,8,15,0,1,1,16,2,0.125,18,0,1,0.138,1.12646E+11,3.33192E-05,387.3204028,-0.076923077,1,-1.5,0.092725632,159,1.150264183,158,0.008409231,159,0.135485246,159,0.121692426,159
-1000,2079181,162.030891,162.0309,0.009,0.055,C7 H4 N3 O2,7,4,3,2,0,5,0.714285714,0.285714286,19,5,3,0.055,1.12646E+11,1.84576E-05,387.3204028,1,7,1.142857143,0.15002515,162,1.22714757,161,0.064147349,162,0.082411817,162,0.068363576,162
576.13,1952745,165.040441,165.040462,0.02,0.123,C5 H9 O6,5,9,0,6,0,10,2,1.2,12,-5,0,0.123,1.12646E+11,1.73352E-05,387.3204028,-1,1,0.4,0.143823654,165,1.240952546,164,0.056350759,165,0.092930597,165,0.078621424,165
502.07,2430265,167.050097,167.050238,0.142,0.847,C12 H7 O,12,7,0,1,0,8,0.666666667,0.083333333,26,8,0,0.847,1.12646E+11,2.15744E-05,387.3204028,0.739130435,9,-0.5,0.136291788,167,1.246780939,166,0.047753693,167,0.103345532,167,0.088862109,167
482.92,2517967,169.973192,169.97311,-0.082,-0.481,C5 N O6,5,0,1,6,0,1,0.2,1.2,13,0,1,0.481,1.12646E+11,2.23529E-05,387.3204028,2,6,2.8,0.216683493,170,1.346602833,169,0.126596251,170,0.027146753,170,0.012409914,170
381.56,2035457,173.002658,173.002637,-0.022,-0.124,C5 H5 N2 O3 S,5,5,2,3,1,6,1.2,0.6,14,1,3,0.124,1.12646E+11,1.80695E-05,387.3204028,-1,4,1.6,0.19053929,173,1.340597822,172,0.098846372,173,0.05763688,173,0.042637379,173
207.5,5957950,173.10052,173.10056,0.04,0.229,C9 H17 O S,9,17,0,1,1,18,2,0.111111111,20,0,1,0.229,1.12646E+11,5.28909E-05,387.3204028,-0.066666667,1,-1.555555556,0.092725632,173,1.24343512,172,0.000980813,173,0.155591011,173,0.14058302,173
523.59,2007881,173.118455,173.118318,-0.137,-0.789,C9 H17 O3,9,17,0,3,0,18,2,0.333333333,20,-2,0,0.789,1.12646E+11,1.78247E-05,387.3204028,-0.066666667,1,-1.333333333,0.07498746,173,1.225814998,172,0.01676677,173,0.173354657,173,0.158345126,173
-1000,1984011,175.039987,175.040068,0.081,0.463,C10 H7 O3,10,7,0,3,0,8,0.8,0.3,22,4,0,0.463,1.12646E+11,1.76128E-05,387.3204028,0.647058824,7,-0.2,0.155383304,175,1.318985935,174,0.062610529,175,0.095715607,175,0.080539458,175
281.38,2743852,175.091238,175.091058,-0.18,-1.028,C7 H15 N2 O S,7,15,2,1,1,16,2.285714286,0.142857143,18,0,3,1.028,1.12646E+11,2.43582E-05,387.3204028,-0.714285714,1,-0.857142857,0.10445024,175,1.268391834,174,0.01165044,175,0.146721818,175,0.131541248,175
705.35,2301488,175.097471,175.097583,0.112,0.64,C8 H15 O4,8,15,0,4,0,16,2,0.5,18,-3,0,0.64,1.12646E+11,2.04312E-05,387.3204028,-0.166666667,1,-1,0.097932525,175,1.261917496,174,0.005129267,175,0.153248892,175,0.138067757,175
28.03,14350908,175.116164,175.11621,0.046,0.26,C9 H19 O S,9,19,0,1,1,20,2.222222222,0.111111111,20,-1,1,0.26,1.12646E+11,0.000127398,387.3204028,-0.2,0,-1.777777778,0.079326325,175,1.24343512,174,0.013486806,175,0.171881814,175,0.156699063,175
574.85,2039672,175.999062,175.998931,-0.131,-0.744,C8 H2 N O4,8,2,1,4,0,3,0.375,0.5,19,4,1,0.744,1.12646E+11,1.81069E-05,387.3204028,1,8,1,0.197590979,176,1.367567782,175,0.104309998,176,0.054883443,176,0.039624159,176
-1000,6041390,177.055902,177.055718,-0.184,-1.039,C10 H9 O3,10,9,0,3,0,10,1,0.3,22,3,0,1.039,1.12646E+11,5.36316E-05,387.3204028,0.529411765,6,-0.4,0.141983996,177,1.318985935,176,0.048142909,177,0.11200641,177,0.096655502,177
-1000,5247814,177.092292,177.092103,-0.188,-1.064,C11 H13 O2,11,13,0,2,0,14,1.272727273,0.181818182,24,3,0,1.064,1.12646E+11,4.65868E-05,387.3204028,0.4,5,-0.909090909,0.105639624,177,1.282883437,176,0.011779253,177,0.148402977,177,0.133048915,177
653.62,1995687,178.008,178.008057,0.056,0.316,C7 H4 N3 O S,7,4,3,1,1,5,0.714285714,0.142857143,19,6,4,0.316,1.12646E+11,1.77164E-05,387.3204028,1,7,1.142857143,0.190708387,178,1.374041128,177,0.096362552,178,0.064648171,178,0.049214695,178
194.29,6344796,179.035161,179.034982,-0.178,-0.996,C9 H7 O4,9,7,0,4,0,8,0.888888889,0.444444444,20,2,0,0.996,1.12646E+11,5.63251E-05,387.3204028,0.571428571,6,0,0.16493006,179,1.355089425,178,0.070039946,179,0.091899644,179,0.076377133,179
106.67,14074996,179.071547,179.071368,-0.179,-0.999,C10 H11 O3,10,11,0,3,0,12,1.2,0.3,22,2,0,0.999,1.12646E+11,0.000124949,387.3204028,0.411764706,5,-0.6,0.128584689,179,1.318985935,178,0.03367529,179,0.128297212,179,0.112771545,179
-1000,2125596,180.066783,180.066617,-0.166,-0.925,C9 H10 N O3,9,10,1,3,0,11,1.222222222,0.333333333,21,2,1,0.925,1.12646E+11,1.88697E-05,387.3204028,0.384615385,5,-0.222222222,0.134446993,180,1.331464292,179,0.039010103,180,0.123862615,180,0.108250659,180
-1000,5459396,181.05078,181.050632,-0.147,-0.814,C9 H9 O4,9,9,0,4,0,10,1.111111111,0.444444444,20,1,0,0.814,1.12646E+11,4.84651E-05,387.3204028,0.428571429,5,-0.222222222,0.151530753,181,1.355089425,180,0.055572327,181,0.108190447,181,0.092493176,181
-1000,3138013,181.087198,181.087018,-0.181,-0.997,C10 H13 O3,10,13,0,3,0,14,1.4,0.3,22,1,0,0.997,1.12646E+11,2.78573E-05,387.3204028,0.294117647,4,-0.8,0.115185382,181,1.318985935,180,0.019207671,181,0.144588014,181,0.128887589,181
-1000,3384103,183.012222,183.012139,-0.083,-0.456,C8 H7 O3 S,8,7,0,3,1,8,1,0.375,18,2,1,0.456,1.12646E+11,3.00419E-05,387.3204028,0.454545455,5,0,0.192213989,183,1.408812046,182,0.095215947,183,0.070321036,183,0.054453701,183
182.95,6499149,183.066436,183.066282,-0.154,-0.84,C9 H11 O4,9,11,0,4,0,12,1.333333333,0.444444444,20,0,0,0.84,1.12646E+11,5.76953E-05,387.3204028,0.285714286,4,-0.444444444,0.138131446,183,1.355089425,182,0.041104707,183,0.124481249,183,0.10860922,183
-1000,3746151,183.102808,183.102668,-0.14,-0.764,C10 H15 O3,10,15,0,3,0,16,1.6,0.3,22,0,0,0.764,1.12646E+11,3.3256E-05,387.3204028,0.176470588,3,-1,0.101786075,183,1.318985935,182,0.004740051,183,0.160878817,183,0.145003633,183
