mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,dbe_o,NSP,abserrPpm,sumintens,relativeintens,avemass,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
-1000,2115171,100.004074,100.004017,-0.058,-0.578,C3 H2 N O3,3,2,1,3,0,3,1,1,9,0,1,0.578,1.01151E+11,2.09111E-05,391.4317544,1,3,2,0.107648379,100,0.772438667,99,0.054645371,100,0.035809631,100,0.027139183,100
-1000,1973275,113.060774,113.060803,0.029,0.259,C6 H9 O2,6,9,0,2,0,10,1.666666667,0.333333333,14,0,0,0.259,1.01151E+11,1.95083E-05,391.4317544,0.2,2,-1,0.065441703,113,0.81702875,112,0.005518483,113,0.09674656,113,0.086944075,113
579.26,2027857,129.128383,129.128489,0.106,0.818,C8 H17 O,8,17,0,1,0,18,2.25,0.125,18,-1,0,0.818,1.01151E+11,2.00479E-05,391.4317544,-0.066666667,0,-2,0.015697024,129,0.874096197,128,0.05274221,129,0.169540695,129,0.158345126,129
-1000,2519029,130.050925,130.050967,0.041,0.319,C5 H8 N O3,5,8,1,3,0,9,1.8,0.6,13,-1,1,0.319,1.01151E+11,2.49037E-05,391.4317544,-0.2,2,0,0.094249072,130,0.958780542,129,0.025320916,130,0.092311963,130,0.081036414,130
427.94,1918322,142.980925,142.980839,-0.086,-0.603,C5 H3 O3 S,5,3,0,3,1,4,0.8,0.6,12,1,1,0.603,1.01151E+11,1.8965E-05,391.4317544,0.6,4,0.8,0.178814682,143,1.129299233,142,0.103033581,143,0.026294544,143,0.013897963,143
729.61,2046841,146.061249,146.061137,-0.111,-0.761,C9 H8 N O,9,8,1,1,0,9,1,0.111111111,21,5,1,0.761,1.01151E+11,2.02356E-05,391.4317544,0.6,6,-0.444444444,0.10195617,146,1.072917421,145,0.024542484,146,0.107571813,146,0.094908166,146
518.85,2359288,152.010211,152.010165,-0.046,-0.305,C5 H2 N3 O3,5,2,3,3,0,3,0.6,0.6,15,3,3,0.305,1.01151E+11,2.33245E-05,391.4317544,3,6,2.4,0.159570908,152,1.170079131,151,0.079004184,152,0.058491089,152,0.045311656,152
-1000,1958222,160.072823,160.072765,-0.058,-0.364,C5 H10 N3 O3,5,10,3,3,0,11,2.2,0.6,15,-1,3,0.364,1.01151E+11,1.93595E-05,391.4317544,-5,2,0.8,0.105973679,160,1.170079131,159,0.021133707,160,0.123654299,160,0.10977583,160
-1000,2197018,161.024259,161.024418,0.158,0.983,C9 H5 O3,9,5,0,3,0,6,0.666666667,0.333333333,20,4,0,0.983,1.01151E+11,2.17203E-05,391.4317544,0.733333333,7,0,0.155383304,161,1.225814998,160,0.070038947,161,0.075609842,161,0.061648864,161
-1000,1971853,162.034126,162.034271,0.145,0.897,C4 H8 N3 O2 S,4,8,3,2,1,9,2.25,0.5,13,0,4,0.897,1.01151E+11,1.94942E-05,391.4317544,3,2,1.5,0.146657915,162,1.223802744,161,0.060778326,162,0.085783888,162,0.071735355,162
