mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,dbe_o,NSP,abserrPpm,sumintens,relativeintens,avemass,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
426.4,2223155,105.001529,105.001574,0.045,0.431,C3 H5 O2 S,3,5,0,2,1,6,2,0.666666667,8,-1,1,0.431,1.52799E+11,1.45495E-05,432.7782779,-1,1,0,0.115671696,105,0.813683923,104,0.060019938,105,0.034955422,105,0.02585168,105
-1000,1963338,111.019938,111.020001,0.063,0.567,C4 H3 N2 O2,4,3,2,2,0,4,1,0.5,12,2,2,0.567,1.52799E+11,1.28491E-05,432.7782779,1,4,1.5,0.103964925,111,0.841985464,110,0.045123348,111,0.055295761,111,0.045670216,111
771.37,1981081,112.076844,112.076788,-0.056,-0.502,C6 H10 N O,6,10,1,1,0,11,1.833333333,0.166666667,15,1,1,0.502,1.52799E+11,1.29652E-05,432.7782779,0.111111111,2,-1,0.048357943,112,0.793403617,111,0.01104374,112,0.112418728,112,0.102701559,112
-1000,2120467,118.980938,118.980839,-0.099,-0.83,C3 H3 O3 S,3,3,0,3,1,4,1.333333333,1,8,-1,1,0.83,1.52799E+11,1.38774E-05,432.7782779,-1,2,1.333333333,0.152016068,119,0.942957359,118,0.088955177,119,0.018664619,119,0.008348862,119
-1000,2112308,121.99962,121.9996,-0.02,-0.168,C4 N3 O2,4,0,3,2,0,1,0.25,0.5,13,4,3,0.168,1.52799E+11,1.38241E-05,432.7782779,65535,6,3,0.136625843,122,0.947634758,121,0.071964983,122,0.038385324,122,0.027807837,122
726.98,1957222,128.017508,128.017559,0.051,0.396,C5 H6 N O S,5,6,1,1,1,7,1.4,0.2,13,2,2,0.396,1.52799E+11,1.28091E-05,432.7782779,0.2,3,0,0.12538655,128,0.976400665,127,0.057536118,128,0.058257515,128,0.047158265,128
478.33,2007038,128.965161,128.965189,0.028,0.214,C4 H O3 S,4,1,0,3,1,2,0.5,0.75,10,1,1,0.214,1.52799E+11,1.31351E-05,432.7782779,1,4,1.5,0.178814682,129,1.036128296,128,0.110461998,129,0.006188779,129,0.004992631,129
-1000,2028991,129.019229,129.019332,0.103,0.801,C5 H5 O4,5,5,0,4,0,6,1.2,0.8,12,-1,0,0.801,1.52799E+11,1.32788E-05,432.7782779,0.333333333,3,0.4,0.124732139,129,0.982405676,128,0.056350759,129,0.060348992,129,0.049162887,129
-1000,1947970,130.014555,130.014581,0.026,0.203,C4 H4 N O4,4,4,1,4,0,5,1.25,1,11,-1,1,0.203,1.52799E+11,1.27485E-05,432.7782779,0,3,1.5,0.130594443,130,0.994884032,129,0.061685572,130,0.055914395,130,0.044642001,130
533.73,2033961,135.008647,135.008768,0.121,0.895,C7 H3 O3,7,3,0,3,0,4,0.571428571,0.428571429,16,3,0,0.895,1.52799E+11,1.33113E-05,432.7782779,0.818181818,6,0.285714286,0.141983996,135,1.039473123,134,0.070428163,135,0.051689115,135,0.03998372,135
523.77,1965839,136.040302,136.040402,0.1,0.739,C7 H6 N O2,7,6,1,2,0,7,1,0.285714286,17,3,1,0.739,1.52799E+11,1.28655E-05,432.7782779,0.6,5,0,0.111501928,136,1.015848982,135,0.039399319,136,0.083651085,136,0.071856247,136
487.25,1982660,139.022191,139.02231,0.118,0.851,C7 H7 O S,7,7,0,1,1,8,1.142857143,0.142857143,16,3,1,0.851,1.52799E+11,1.29756E-05,432.7782779,0.454545455,4,-0.571428571,0.132923553,139,1.057093245,138,0.059240507,139,0.066507074,139,0.054453701,139
-1000,2077571,145.123558,145.123403,-0.155,-1.065,C8 H17 O2,8,17,0,2,0,18,2.25,0.25,18,-2,0,1.065,1.52799E+11,1.35967E-05,432.7782779,-0.142857143,0,-1.75,0.038643088,145,1.003370625,144,0.038273591,145,0.169539694,145,0.15695735,145
-1000,2070899,148.981562,148.981507,-0.054,-0.364,C6 H N2 O S,6,1,2,1,1,2,0.333333333,0.166666667,16,6,3,0.364,1.52799E+11,1.3553E-05,432.7782779,1.4,7,1.333333333,0.184847082,149,1.175221889,148,0.105885573,149,0.028870238,149,0.015953392,149
-1000,2540938,149.060731,149.060803,0.072,0.486,C9 H9 O2,9,9,0,2,0,10,1.111111111,0.222222222,20,3,0,0.486,1.52799E+11,1.66292E-05,432.7782779,0.5,5,-0.666666667,0.105639624,149,1.096541562,148,0.026636088,149,0.108191447,149,0.095267727,149
445.79,3451001,153.055719,153.055718,-0.002,-0.012,C8 H9 O3,8,9,0,3,0,10,1.25,0.375,18,1,0,0.012,1.52799E+11,2.25852E-05,432.7782779,0.384615385,4,-0.5,0.115185382,153,1.13264406,152,0.034064506,153,0.104376485,153,0.091106401,153
-1000,2072701,153.067014,153.066951,-0.063,-0.409,C7 H9 N2 O2,7,9,2,2,0,10,1.428571429,0.285714286,18,2,2,0.409,1.52799E+11,1.35648E-05,432.7782779,0.25,4,0,0.103964925,153,1.121498276,152,0.022838095,153,0.115613056,153,0.102341998,153
542.21,2087557,153.092077,153.092103,0.026,0.17,C9 H13 O2,9,13,0,2,0,14,1.555555556,0.222222222,20,1,0,0.17,1.52799E+11,1.36621E-05,432.7782779,0.25,3,-1.111111111,0.07884101,153,1.096541562,152,0.002299151,153,0.140773052,153,0.127499814,153
-1000,2123333,155.07134,155.071368,0.028,0.182,C8 H11 O3,8,11,0,3,0,12,1.5,0.375,18,0,0,0.182,1.52799E+11,1.38962E-05,432.7782779,0.230769231,3,-0.75,0.101786075,155,1.13264406,154,0.019596887,155,0.120667287,155,0.107222445,155
-1000,2877266,157.123395,157.123403,0.008,0.053,C9 H17 O2,9,17,0,2,0,18,2,0.222222222,20,-1,0,0.053,1.52799E+11,1.88303E-05,432.7782779,0,1,-1.555555556,0.052042395,157,1.096541562,156,0.031234389,157,0.173354657,157,0.159731901,157
458.52,2686138,161.064048,161.064174,0.127,0.787,C7 H13 O2 S,7,13,0,2,1,14,2,0.285714286,16,-1,1,0.787,1.52799E+11,1.75795E-05,432.7782779,-0.2,1,-1.142857143,0.115671696,161,1.186367673,160,0.030306267,161,0.115378481,161,0.101414056,161
743.19,2104765,161.072037,161.072036,-0.001,-0.006,C9 H9 N2 O,9,9,2,1,0,10,1.111111111,0.111111111,22,5,2,0.006,1.52799E+11,1.37747E-05,432.7782779,0.538461538,6,-0.222222222,0.107818474,161,1.178566715,160,0.022448879,161,0.123242981,161,0.109277874,161
542.23,2118140,162.077148,162.077181,0.033,0.205,C6 H12 N O4,6,12,1,4,0,13,2.166666667,0.666666667,15,-3,1,0.205,1.52799E+11,1.38622E-05,432.7782779,-0.666666667,1,-0.333333333,0.103795828,162,1.181225907,161,0.017893498,162,0.12870753,162,0.114655276,162
525.19,1989608,165.055702,165.055718,0.015,0.093,C9 H9 O3,9,9,0,3,0,10,1.111111111,0.333333333,20,2,0,0.093,1.52799E+11,1.3021E-05,432.7782779,0.466666667,5,-0.444444444,0.128584689,165,1.225814998,164,0.041103708,165,0.108191447,165,0.093880951,165
-1000,4601338,165.092065,165.092103,0.038,0.229,C10 H13 O2,10,13,0,2,0,14,1.4,0.2,22,2,0,0.229,1.52799E+11,3.01136E-05,432.7782779,0.333333333,4,-1,0.092240317,165,1.1897125,164,0.004740051,165,0.144588014,165,0.130274364,165
453.7,2560457,167.071358,167.071368,0.01,0.062,C9 H11 O3,9,11,0,3,0,12,1.333333333,0.333333333,20,1,0,0.062,1.52799E+11,1.6757E-05,432.7782779,0.333333333,4,-0.666666667,0.115185382,167,1.225814998,166,0.026636088,167,0.12448225,167,0.109996995,167
449.26,3348927,169.050568,169.050632,0.064,0.379,C8 H9 O4,8,9,0,4,0,10,1.25,0.5,18,0,0,0.379,1.52799E+11,2.19171E-05,432.7782779,0.333333333,4,-0.25,0.138131446,169,1.261918488,168,0.048533125,169,0.104375484,169,0.089718626,169
-1000,4762066,169.086985,169.087018,0.033,0.195,C9 H13 O3,9,13,0,3,0,14,1.555555556,0.333333333,20,0,0,0.195,1.52799E+11,3.11655E-05,432.7782779,0.2,3,-0.888888889,0.101786075,169,1.225814998,168,0.012168469,169,0.140773052,169,0.126113039,169
6.58,43982800,171.012106,171.012139,0.033,0.193,C7 H7 O3 S,7,7,0,3,1,8,1.142857143,0.428571429,16,1,1,0.193,1.52799E+11,0.000287846,432.7782779,0.333333333,4,0,0.178814682,171,1.315641108,170,0.088176745,171,0.066506074,171,0.051679151,171
6.58,28889070,171.066252,171.066282,0.031,0.18,C8 H11 O4,8,11,0,4,0,12,1.5,0.5,18,-1,0,0.18,1.52799E+11,0.000189065,432.7782779,0.166666667,3,-0.5,0.124732139,171,1.261918488,170,0.034065505,171,0.120666287,171,0.105834669,171
-1000,4934145,171.102645,171.102668,0.023,0.132,C9 H15 O3,9,15,0,3,0,16,1.777777778,0.333333333,20,-1,0,0.132,1.52799E+11,3.22916E-05,432.7782779,0.066666667,2,-1.111111111,0.088386768,171,1.225814998,170,0.002299151,171,0.157063854,171,0.142229082,171
-1000,12944450,173.081905,173.081932,0.028,0.161,C8 H13 O4,8,13,0,4,0,14,1.75,0.5,18,-2,0,0.161,1.52799E+11,8.47153E-05,432.7782779,0,2,-0.75,0.111332832,173,1.261918488,172,0.019597886,173,0.136957089,173,0.121950713,173
-1000,5772374,173.11828,173.118318,0.038,0.218,C9 H17 O3,9,17,0,3,0,18,2,0.333333333,20,-2,0,0.218,1.52799E+11,3.77774E-05,432.7782779,-0.066666667,1,-1.333333333,0.07498746,173,1.225814998,172,0.01676677,173,0.173354657,173,0.158345126,173
-1000,17830074,175.097548,175.097583,0.034,0.196,C8 H15 O4,8,15,0,4,0,16,2,0.5,18,-3,0,0.196,1.52799E+11,0.000116689,432.7782779,-0.166666667,1,-1,0.097932525,175,1.261917496,174,0.005129267,175,0.153248892,175,0.138067757,175
-1000,2368945,177.055655,177.055718,0.063,0.356,C10 H9 O3,10,9,0,3,0,10,1,0.3,22,3,0,0.356,1.52799E+11,1.55036E-05,432.7782779,0.529411765,6,-0.4,0.141983996,177,1.318985935,176,0.048142909,177,0.11200641,177,0.096655502,177
-1000,6150611,179.034936,179.034982,0.046,0.259,C9 H7 O4,9,7,0,4,0,8,0.888888889,0.444444444,20,2,0,0.259,1.52799E+11,4.02528E-05,432.7782779,0.571428571,6,0,0.16493006,179,1.355089425,178,0.070039946,179,0.091899644,179,0.076377133,179
384.95,3431913,179.071339,179.071368,0.029,0.163,C10 H11 O3,10,11,0,3,0,12,1.2,0.3,22,2,0,0.163,1.52799E+11,2.24602E-05,432.7782779,0.411764706,5,-0.6,0.128584689,179,1.318985935,178,0.03367529,179,0.128297212,179,0.112771545,179
-1000,2955946,181.050588,181.050632,0.045,0.247,C9 H9 O4,9,9,0,4,0,10,1.111111111,0.444444444,20,1,0,0.247,1.52799E+11,1.93453E-05,432.7782779,0.428571429,5,-0.222222222,0.151530753,181,1.355089425,180,0.055572327,181,0.108190447,181,0.092493176,181
-1000,5308096,181.086976,181.087018,0.042,0.234,C10 H13 O3,10,13,0,3,0,14,1.4,0.3,22,1,0,0.234,1.52799E+11,3.4739E-05,432.7782779,0.294117647,4,-0.8,0.115185382,181,1.318985935,180,0.019207671,181,0.144588014,181,0.128887589,181
161.63,8168349,183.066254,183.066282,0.028,0.155,C9 H11 O4,9,11,0,4,0,12,1.333333333,0.444444444,20,0,0,0.155,1.52799E+11,5.3458E-05,432.7782779,0.285714286,4,-0.444444444,0.138131446,183,1.355089425,182,0.041104707,183,0.124481249,183,0.10860922,183
681.41,2052260,183.077641,183.077516,-0.125,-0.683,C8 H11 N2 O3,8,11,2,3,0,12,1.5,0.375,20,1,2,0.683,1.52799E+11,1.34311E-05,432.7782779,0.111111111,4,0,0.12690999,183,1.343942649,182,0.029877297,183,0.135718821,183,0.119845817,183
-1000,4973492,183.102648,183.102668,0.02,0.108,C10 H15 O3,10,15,0,3,0,16,1.6,0.3,22,0,0,0.108,1.52799E+11,3.25491E-05,432.7782779,0.176470588,3,-1,0.101786075,183,1.318985935,182,0.004740051,183,0.160878817,183,0.145003633,183
-1000,2230731,183.138999,183.139053,0.054,0.295,C11 H19 O2,11,19,0,2,0,20,1.818181818,0.181818182,24,0,0,0.295,1.52799E+11,1.45991E-05,432.7782779,0.1,2,-1.454545455,0.065441703,183,1.282883437,182,0.031623605,183,0.197275384,183,0.181397045,183
-1000,2067504,184.097906,184.097917,0.011,0.061,C9 H14 N O3,9,14,1,3,0,15,1.666666667,0.333333333,21,0,1,0.061,1.52799E+11,1.35308E-05,432.7782779,0.076923077,3,-0.666666667,0.107648379,184,1.331464292,183,0.010074864,184,0.15644422,184,0.140482747,184
6.81,28680364,185.081899,185.081932,0.034,0.182,C9 H13 O4,9,13,0,4,0,14,1.555555556,0.444444444,20,-1,0,0.182,1.52799E+11,0.000187699,432.7782779,0.142857143,3,-0.666666667,0.124732139,185,1.355089425,184,0.026637088,185,0.140772052,185,0.124725263,185
118.05,7533763,185.118291,185.118318,0.027,0.147,C10 H17 O3,10,17,0,3,0,18,1.8,0.3,22,-1,0,0.147,1.52799E+11,4.93049E-05,432.7782779,0.058823529,2,-1.2,0.088386768,185,1.318985935,184,0.009727568,185,0.177169619,185,0.161119676,185
-1000,3540923,187.061175,187.061197,0.022,0.116,C8 H11 O5,8,11,0,5,0,12,1.5,0.625,18,-2,0,0.116,1.52799E+11,2.31737E-05,432.7782779,0.090909091,3,-0.25,0.147677204,187,1.391191923,186,0.048533125,187,0.120666287,187,0.104447894,187
-1000,16076243,187.097559,187.097583,0.024,0.127,C9 H15 O4,9,15,0,4,0,16,1.777777778,0.444444444,20,-2,0,0.127,1.52799E+11,0.000105211,432.7782779,0,2,-0.888888889,0.111331833,187,1.355088433,186,0.012168469,187,0.157063854,187,0.140842307,187
124.59,6254059,187.133925,187.133968,0.043,0.228,C10 H19 O3,10,19,0,3,0,20,2,0.3,22,-2,0,0.228,1.52799E+11,4.09298E-05,432.7782779,-0.058823529,1,-1.4,0.07498746,187,1.318985935,186,0.024195188,187,0.193460422,187,0.17723572,187
-1000,2559041,188.035276,188.035317,0.041,0.217,C10 H6 N O3,10,6,1,3,0,7,0.7,0.3,23,5,1,0.217,1.52799E+11,1.67477E-05,432.7782779,0.733333333,8,0.2,0.174644915,188,1.424635229,187,0.074984544,188,0.095095973,188,0.078793123,188
440.59,2690284,189.05565,189.055718,0.068,0.358,C11 H9 O3,11,9,0,3,0,10,0.909090909,0.272727273,24,4,0,0.358,1.52799E+11,1.76066E-05,432.7782779,0.578947368,7,-0.363636364,0.155383304,189,1.412156872,188,0.055182111,189,0.115821372,189,0.099430052,189
7.47,52873980,189.07681,189.076847,0.037,0.197,C8 H13 O5,8,13,0,5,0,14,1.75,0.625,18,-3,0,0.197,1.52799E+11,0.000346035,432.7782779,-0.090909091,2,-0.5,0.134277896,189,1.391191923,188,0.034065505,189,0.136957089,189,0.120563938,189
417.78,2374916,189.092101,189.092103,0.003,0.014,C12 H13 O2,12,13,0,2,0,14,1.166666667,0.166666667,26,4,0,0.014,1.52799E+11,1.55427E-05,432.7782779,0.454545455,6,-0.833333333,0.119038931,189,1.376054375,188,0.018818455,189,0.152217939,189,0.135823465,189
-1000,4548371,189.113208,189.113233,0.025,0.132,C9 H17 O4,9,17,0,4,0,18,2,0.444444444,20,-3,0,0.132,1.52799E+11,2.97669E-05,432.7782779,-0.142857143,1,-1.111111111,0.097932525,189,1.355088433,188,0.002299151,189,0.173354657,189,0.156958351,189
280.16,5444648,191.034945,191.034982,0.037,0.196,C10 H7 O4,10,7,0,4,0,8,0.8,0.4,22,3,0,0.196,1.52799E+11,3.56326E-05,432.7782779,0.625,7,0,0.178329368,191,1.448260363,190,0.077079148,191,0.095714607,191,0.079151683,191
-1000,3743809,191.071364,191.071368,0.004,0.022,C11 H11 O3,11,11,0,3,0,12,1.090909091,0.272727273,24,3,0,0.022,1.52799E+11,2.45014E-05,432.7782779,0.473684211,6,-0.545454545,0.141983996,191,1.412156872,190,0.040714492,191,0.132112174,191,0.115546096,191
