mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,dbe_o,NSP,abserrPpm,sumintens,relativeintens,avemass,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
-1000,2030997,113.06076,113.060803,0.043,0.378,C6 H9 O2,6,9,0,2,0,10,1.666666667,0.333333333,14,0,0,0.378,1.4992E+11,1.35472E-05,448.3855632,0.2,2,-1,0.065441703,113,0.81702875,112,0.005518483,113,0.09674656,113,0.086944075,113
-1000,2229821,126.067412,126.067285,-0.126,-1.001,C5 H8 N3 O,5,8,3,1,0,9,1.8,0.2,15,2,3,1.001,1.4992E+11,1.48734E-05,448.3855632,-0.333333333,3,0.4,0.073482857,126,0.91153226,125,0.006666087,126,0.107363496,126,0.096433337,126
606.66,2015853,129.012913,129.012808,-0.105,-0.814,C4 H5 N2 O S,4,5,2,1,1,6,1.5,0.25,12,2,3,0.814,1.4992E+11,1.34462E-05,448.3855632,-1,3,1,0.131248854,129,0.988879022,128,0.062870932,129,0.053822918,129,0.042637379,129
-1000,3488909,149.097045,149.097189,0.144,0.963,C10 H13 O,10,13,0,1,0,14,1.4,0.1,22,3,0,0.963,1.4992E+11,2.32717E-05,448.3855632,0.368421053,4,-1.2,0.069294253,149,1.060438072,148,0.009728568,149,0.144589015,149,0.131662139,149
482.99,2226986,153.055684,153.055718,0.033,0.217,C8 H9 O3,8,9,0,3,0,10,1.25,0.375,18,1,0,0.217,1.4992E+11,1.48545E-05,448.3855632,0.384615385,4,-0.5,0.115185382,153,1.13264406,152,0.034064506,153,0.104376485,153,0.091106401,153
547.85,2209334,153.092212,153.092103,-0.108,-0.708,C9 H13 O2,9,13,0,2,0,14,1.555555556,0.222222222,20,1,0,0.708,1.4992E+11,1.47367E-05,448.3855632,0.25,3,-1.111111111,0.07884101,153,1.096541562,152,0.002299151,153,0.140773052,153,0.127499814,153
-1000,2021057,153.128393,153.128489,0.095,0.623,C10 H17 O,10,17,0,1,0,18,1.8,0.1,22,1,0,0.623,1.4992E+11,1.34809E-05,448.3855632,0.157894737,2,-1.6,0.042495639,153,1.060438072,152,0.038663806,153,0.17717062,153,0.163894227,153
-1000,1986263,153.971741,153.971671,-0.07,-0.454,C4 N3 O2 S,4,0,3,2,1,1,0.25,0.5,13,4,4,0.454,1.4992E+11,1.32488E-05,448.3855632,-1,6,3.5,0.200255143,154,1.223802744,153,0.118648804,154,0.020620679,154,0.007271181,154
-1000,2132647,159.102718,159.102668,-0.05,-0.313,C8 H15 O3,8,15,0,3,0,16,2,0.375,18,-2,0,0.313,1.4992E+11,1.42252E-05,448.3855632,-0.076923077,1,-1.25,0.07498746,159,1.13264406,158,0.009338352,159,0.153248892,159,0.139454532,159
-1000,1975785,162.067216,162.067285,0.069,0.427,C8 H8 N3 O,8,8,3,1,0,9,1.125,0.125,21,5,3,0.427,1.4992E+11,1.31789E-05,448.3855632,0.555555556,6,0.25,0.113680778,162,1.191045072,161,0.027783693,162,0.118808384,162,0.104756988,162
189.1,6113412,165.019344,165.019332,-0.012,-0.072,C8 H5 O4,8,5,0,4,0,6,0.75,0.5,18,2,0,0.072,1.4992E+11,4.07777E-05,448.3855632,0.666666667,6,0.25,0.16493006,165,1.261918488,164,0.077468364,165,0.071793879,165,0.057486539,165
-1000,3563173,165.092089,165.092103,0.014,0.086,C10 H13 O2,10,13,0,2,0,14,1.4,0.2,22,2,0,0.086,1.4992E+11,2.37671E-05,448.3855632,0.333333333,4,-1,0.092240317,165,1.1897125,164,0.004740051,165,0.144588014,165,0.130274364,165
-1000,2203444,167.034961,167.034982,0.022,0.13,C8 H7 O4,8,7,0,4,0,8,1,0.5,18,1,0,0.13,1.4992E+11,1.46974E-05,448.3855632,0.5,5,0,0.151530753,167,1.261918488,166,0.063000744,167,0.088084682,167,0.073602582,167
396.69,2930502,167.071369,167.071368,-0.001,-0.006,C9 H11 O3,9,11,0,3,0,12,1.333333333,0.333333333,20,1,0,0.006,1.4992E+11,1.95471E-05,448.3855632,0.333333333,4,-0.666666667,0.115185382,167,1.225814998,166,0.026636088,167,0.12448225,167,0.109996995,167
253.13,3733517,169.050635,169.050632,-0.002,-0.014,C8 H9 O4,8,9,0,4,0,10,1.25,0.5,18,0,0,0.014,1.4992E+11,2.49033E-05,448.3855632,0.333333333,4,-0.25,0.138131446,169,1.261918488,168,0.048533125,169,0.104375484,169,0.089718626,169
415.49,3237407,169.087051,169.087018,-0.033,-0.194,C9 H13 O3,9,13,0,3,0,14,1.555555556,0.333333333,20,0,0,0.194,1.4992E+11,2.15942E-05,448.3855632,0.2,3,-0.888888889,0.101786075,169,1.225814998,168,0.012168469,169,0.140773052,169,0.126113039,169
162.46,4960752,171.012156,171.012139,-0.017,-0.099,C7 H7 O3 S,7,7,0,3,1,8,1.142857143,0.428571429,16,1,1,0.099,1.4992E+11,3.30892E-05,448.3855632,0.333333333,4,0,0.178814682,171,1.315641108,170,0.088176745,171,0.066506074,171,0.051679151,171
5.68,30502412,171.066279,171.066282,0.004,0.023,C8 H11 O4,8,11,0,4,0,12,1.5,0.5,18,-1,0,0.023,1.4992E+11,0.000203457,448.3855632,0.166666667,3,-0.5,0.124732139,171,1.261918488,170,0.034065505,171,0.120666287,171,0.105834669,171
-1000,3927583,171.102657,171.102668,0.011,0.064,C9 H15 O3,9,15,0,3,0,16,1.777777778,0.333333333,20,-1,0,0.064,1.4992E+11,2.61978E-05,448.3855632,0.066666667,2,-1.111111111,0.088386768,171,1.225814998,170,0.002299151,171,0.157063854,171,0.142229082,171
