Experiment,Incubation_days,Year,Season,DOC,DOC_sd,SUVA254,SUVA254_sd,SR,SR_sd,FI,FI_sd,HIX,HIX_sd,BIX,BIX_sd,Fmax_C1,Fmax_C1_sd,Fmax_C2,Fmax_C2_sd,Fmax_C3,Fmax_C3_sd,C1,C2,C3
Bio,0,2023,Autumn,4.4065,0.655829712,2.266632868,0.208248634,1.224691168,0.063373879,1.068520111,0.016397753,0.668510712,0.022549411,0.728233693,0.014417917,0.017889349,0.003783404,0.019442721,0.00353937,,,0.479,0.521,
Bio,1,2023,Autumn,,,,,,,,,,,,,,,,,,,,,
Bio,2,2023,Autumn,3.778555556,0.581015803,2.598329562,0.286315913,1.195208077,0.057640769,1.04945543,0.009722764,0.661484968,0.020303659,0.726185476,0.041264351,0.01700829,0.004151592,0.018877536,0.003774552,,,0.474,0.526,
Bio,3,2023,Autumn,,,,,,,,,,,,,,,,,,,,,
Bio,7,2023,Autumn,3.010055556,0.671530306,3.133901307,0.40463316,1.175663194,0.069577881,1.059331566,0.008774865,0.667016606,0.019270526,0.737888,0.009627984,0.016752583,0.003978935,0.01871414,0.003669562,,,0.472,0.528,
Bio,14,2023,Autumn,2.495388889,0.638494355,3.960693462,0.606122204,1.101194999,0.127259166,1.077149989,0.012185038,0.662288145,0.01900104,0.740684201,0.008977663,0.016477493,0.003640864,0.017692833,0.00340748,,,0.482,0.518,
Bio,28,2023,Autumn,2.074,0.570508974,4.826837601,0.692181596,1.069149758,0.123565546,1.085025002,0.019193332,0.654941691,0.018744723,0.753939053,0.006031717,0.015905951,0.003583563,0.017011693,0.003157991,,,0.483,0.517,
Bio,0,2024,Spring,6.433833333,0.985354054,1.91551498,0.879830485,2.399314166,0.188791878,1.037215155,0.009678751,0.770245206,0.039635779,0.690637334,0.032607617,0.046909066,0.018473806,0.041104798,0.01725403,0.012512761,0.000976154,0.467,0.409,0.124
Bio,1,2024,Spring,5.992722222,0.976348217,2.177142455,0.721284114,2.42717165,0.200795029,1.045394058,0.014047847,0.774916319,0.037873975,0.694557785,0.026885021,0.047132387,0.018162043,0.042236065,0.017391882,0.012759357,0.001125921,0.462,0.413,0.125
Bio,2,2024,Spring,5.671666667,1.026031687,2.475642312,0.876173421,2.454412458,0.148751332,1.04675734,0.01171911,0.775332221,0.038801658,0.697949375,0.029575611,0.0449023,0.017473225,0.041525083,0.017064155,0.012682735,0.00111553,0.453,0.419,0.128
Bio,3,2024,Spring,5.018,0.909981709,2.760468824,0.927300571,2.482868401,0.141054796,1.046493342,0.012352679,0.770999691,0.042440619,0.699033847,0.025375481,0.048021297,0.0186386,0.043237498,0.018109205,0.012629167,0.001092629,0.462,0.416,0.122
Bio,7,2024,Spring,4.508722222,0.824324758,2.964685263,0.931036168,2.529526085,0.142590754,1.052547839,0.013790899,0.777195173,0.037667854,0.700820509,0.02235962,0.045498823,0.017634352,0.042007963,0.017193313,0.012295957,0.001062602,0.456,0.421,0.123
Bio,14,2024,Spring,3.737333333,0.895845721,3.495369791,1.075396902,2.555769794,0.146244604,1.04887367,0.014665107,0.778164688,0.038018238,0.703197867,0.027676776,0.046185654,0.017737657,0.042678191,0.017308347,0.012177823,0.000960535,0.457,0.422,0.121
Bio,28,2024,Spring,3.102777778,0.555726018,4.055840742,1.088631909,2.594948636,0.12775023,1.052896193,0.014299433,0.781368237,0.036854137,0.706218915,0.023566382,0.044338337,0.017702036,0.043250663,0.017898056,0.01197569,0.000971483,0.445,0.434,0.120
Bio,0,2024,Summer,3.048111111,0.640668528,2.796349921,0.112939385,2.205007796,0.155030092,1.121110532,0.016447919,0.702217176,0.030582331,0.784582885,0.031181273,0.032737411,0.010327842,0.024894778,0.007436012,0.011088703,0.001333196,0.476,0.362,0.161
Bio,1,2024,Summer,2.507188889,0.671673572,3.533327661,0.475321037,2.246447727,0.120596025,1.11142886,0.012959015,0.692728983,0.046252174,0.774618084,0.02070691,0.034941887,0.010189088,0.024668561,0.007188716,0.011366399,0.001361671,0.492,0.348,0.160
Bio,2,2024,Summer,2.105577778,0.643396421,4.062376643,0.658185683,2.292241957,0.123392283,1.096677579,0.01175297,0.696470062,0.036956992,0.771556393,0.02636876,0.034160135,0.010103375,0.024951653,0.007186198,0.011121172,0.001449137,0.486,0.355,0.158
Bio,3,2024,Summer,1.852994444,0.534464992,4.362984932,0.78490083,2.302420314,0.130766176,1.114285876,0.015217288,0.727086609,0.031449425,0.769438123,0.025432871,0.035581233,0.010942346,0.024477968,0.007531309,0.010847996,0.001484507,0.502,0.345,0.153
Bio,7,2024,Summer,1.591938889,0.382223304,4.743853544,0.67537876,2.324624363,0.132492974,1.121662567,0.01682237,0.73094159,0.037998121,0.758629672,0.034139001,0.035058682,0.010748426,0.024803869,0.007638878,0.010636608,0.001377569,0.497,0.352,0.151
Bio,14,2024,Summer,1.42575,0.36219319,5.10617834,0.692032451,2.372354816,0.118188074,1.119629123,0.009786912,0.731174186,0.039125591,0.771109668,0.03006622,0.034869978,0.010351445,0.025391951,0.007400571,0.010536479,0.001368626,0.493,0.359,0.149
Bio,28,2024,Summer,1.254385167,0.335906866,5.458042229,0.588134688,2.403226636,0.120282479,1.123855883,0.016660375,0.728439456,0.039553184,0.773057094,0.019897083,0.034612555,0.010314505,0.024883362,0.007493391,0.010282768,0.001304304,0.496,0.357,0.147
Photo,0,2023,Autumn,4.460111111,0.740187654,2.207259832,0.302778645,1.338299608,0.137894642,1.059461495,0.002986197,0.669559173,0.021196287,0.71992934,0.020167795,0.017772195,0.003878041,0.019546634,0.003671577,,,0.476,0.524,
Photo,1,2023,Autumn,3.872722222,0.471269888,2.474236589,0.254494395,1.292054436,0.076143278,0.965410708,0.024576022,0.608624368,0.032926024,0.842308063,0.055838138,0.014865674,0.003625384,0.009508787,0.003631997,,,0.610,0.390,
Photo,2,2023,Autumn,3.339522222,0.335803317,3.013222421,0.133165742,1.259271131,0.062546506,0.957440629,0.018955911,0.599879986,0.030947657,0.878036203,0.045815522,0.014163928,0.003725307,0.007617806,0.003318777,,,0.650,0.350,
Photo,3,2023,Autumn,3.056944444,0.272343363,3.100524139,0.165845844,1.237280541,0.063495594,0.937506334,0.015303623,0.588971898,0.030215827,0.899962478,0.05747203,0.012511186,0.003702994,0.006239057,0.002754279,,,0.667,0.333,
Photo,7,2023,Autumn,,,,,,,,,,,,,,,,,,,,,
Photo,14,2023,Autumn,,,,,,,,,,,,,,,,,,,,,
Photo,28,2023,Autumn,,,,,,,,,,,,,,,,,,,,,
Photo,0,2024,Spring,6.814777778,0.925597625,1.945383249,0.831170661,2.236204257,0.289745234,1.049890458,0.008744271,0.81705425,0.030173487,0.699686791,0.019265877,0.038378016,0.009865304,0.0339199,0.011921003,0.011088703,0.001333196,0.460,0.407,0.133
Photo,1,2024,Spring,5.925166667,0.927524992,2.157930511,0.975629379,2.541213041,0.15934802,0.955268002,0.021531869,0.7779142,0.039390708,0.739513344,0.051421985,0.027743115,0.009514199,0.022998139,0.010433008,0.009038756,0.000960534,0.464,0.385,0.151
Photo,2,2024,Spring,5.352722222,1.145622498,2.485305357,1.115804042,2.625595508,0.242439466,0.950027572,0.020590812,0.7754768,0.031296814,0.779938761,0.029677265,0.027284918,0.00931602,0.019801076,0.007243936,0.008299265,0.001048902,0.493,0.358,0.150
Photo,3,2024,Spring,4.781666667,0.971633744,2.846835876,1.023059182,2.76787104,0.173709073,0.92598391,0.015592166,0.752175933,0.042323676,0.810388411,0.069522315,0.026096529,0.008335545,0.016691507,0.005049738,0.007573579,0.000667329,0.518,0.331,0.150
Photo,7,2024,Spring,4.347611111,0.620885333,3.31512123,1.109805901,2.990414274,0.350088234,0.8877742,0.018184509,0.71196865,0.032271249,0.835548707,0.03846544,0.025140155,0.008627302,0.012412309,0.003975351,0.006490281,0.000625677,0.571,0.282,0.147
Photo,14,2024,Spring,3.626111111,0.512936759,3.775342391,1.054015285,3.425089859,0.239502561,0.883499829,0.026245159,0.661112283,0.057279488,0.86025673,0.088966429,0.022018704,0.00765623,0.009573409,0.002695255,0.005466507,0.000634805,0.594,0.258,0.148
Photo,28,2024,Spring,3.241722222,0.369320723,4.042057475,1.163404867,3.85627,0.245075181,0.898975305,0.036049186,0.651943167,0.025083394,0.899050296,0.026736942,0.020731778,0.006519019,0.007211948,0.001502092,0.005305915,0.000708262,0.624,0.217,0.160
Photo,0,2024,Summer,3.021888889,0.47392839,2.853798058,0.273472054,2.175670444,0.205214698,1.111112249,0.013988094,0.7060332,0.031915733,0.792074312,0.03810942,0.024608321,0.005144183,0.024670613,0.006769844,0.009895808,0.001693926,0.416,0.417,0.167
Photo,1,2024,Summer,2.479805556,0.375149102,3.648666361,0.323600246,2.461146312,0.261674856,0.980457852,0.024976633,0.67497531,0.048398541,0.86342458,0.036863112,0.01743869,0.003224943,0.012443758,0.003213888,0.007942916,0.000782171,0.461,0.329,0.210
Photo,2,2024,Summer,2.072894444,0.333433662,4.113186275,0.150029589,2.623511513,0.310765722,0.976643258,0.013678723,0.673841475,0.034151633,0.870534032,0.021296655,0.015630714,0.003334081,0.010275374,0.002630609,0.007245724,0.00045739,0.471,0.310,0.219
Photo,3,2024,Summer,1.762144444,0.297896879,4.440763568,0.356612209,2.950402971,0.230804092,0.961212329,0.034561286,0.648922054,0.041715881,0.916914503,0.039356679,0.01492529,0.003475501,0.007592719,0.001207174,0.006867804,0.000539087,0.508,0.258,0.234
Photo,7,2024,Summer,1.488672222,0.255598201,4.723695282,0.394825532,3.165426549,0.183494052,0.96722082,0.072897536,0.609308558,0.031963674,0.937441048,0.028742778,0.013931605,0.00231063,0.007253244,0.001581042,0.00633678,0.000883578,0.506,0.264,0.230
Photo,14,2024,Summer,1.345765556,0.249737834,4.961805866,0.380974483,3.614405694,0.406087285,0.957018073,0.030854009,0.586542554,0.02629702,0.972973645,0.046020386,0.011988048,0.001889974,0.006836417,0.001402897,0.00620676,0.001215421,0.479,0.273,0.248
Photo,28,2024,Summer,1.209033333,0.224184582,5.199638422,0.401387794,4.03453,0.411837994,0.945005527,0.018473916,0.560035611,0.027796293,1.027033358,0.0409358,0.010038451,0.002092919,0.005631463,0.000777099,0.005768119,0.001194187,0.468,0.263,0.269
Bio-Photo,0,2023,Autumn,4.460111111,0.740187654,2.207259832,0.302778645,1.43526,0.071436063,1.059461495,0.002986197,0.669559173,0.021196287,0.71992934,0.020167795,0.017772195,0.003878041,0.019546634,0.003671577,,,0.476,0.524,
Bio-Photo,1,2023,Autumn,3.720388889,0.453693995,2.749251633,0.259231198,1.36961,0.107139437,0.958683126,0.02429929,0.606384322,0.032272111,0.852243489,0.062115439,0.014893977,0.003893472,0.009607,0.00395794,,,0.608,0.392,
Bio-Photo,2,2023,Autumn,2.951222222,0.396605131,3.327539567,0.370906027,1.35109,0.106103087,0.936169719,0.02587538,0.592003409,0.023268946,0.902492311,0.035384088,0.013142529,0.003369048,0.006325556,0.002331268,,,0.675,0.325,
Bio-Photo,3,2023,Autumn,2.518222222,0.376626114,3.795864129,0.572381014,1.29481,0.128878205,0.92380505,0.013606203,0.579717722,0.016846194,0.940329747,0.015391583,0.011388936,0.002627805,0.004706592,0.001235716,,,0.708,0.292,
Bio-Photo,7,2023,Autumn,,,,,,,,,,,,,,,,,,,,,
Bio-Photo,14,2023,Autumn,,,,,,,,,,,,,,,,,,,,,
Bio-Photo,28,2023,Autumn,,,,,,,,,,,,,,,,,,,,,
Bio-Photo,0,2024,Spring,6.814777778,0.925597625,2.004034096,0.79370408,2.2362,0.289745234,1.049890458,0.008744271,0.81705,0.0301735,0.69969,0.019265877,0.038378016,0.009865304,0.0339199,0.011921003,0.011088703,0.001333196,0.460,0.407,0.133
Bio-Photo,1,2024,Spring,5.754277778,0.822527471,2.217847896,0.846504463,2.31578,0.107834082,0.961839343,0.027310205,0.72171,0.050605604,0.81514,0.057651511,0.025507507,0.008419326,0.02136616,0.009013291,0.009774067,0.001727137,0.450,0.377,0.173
Bio-Photo,2,2024,Spring,4.999611111,0.897165745,2.786011956,1.266166066,2.42857,0.219464428,0.948051562,0.011906512,0.71384,0.050425363,0.83672,0.056009417,0.023318681,0.007655353,0.018391753,0.007172296,0.009648386,0.001781063,0.454,0.358,0.188
Bio-Photo,3,2024,Spring,4.252277778,0.503268933,3.340407833,1.253053406,2.49418,0.101646322,0.934416588,0.016274473,0.69813,0.051426426,0.87522,0.049791018,0.022775667,0.007479355,0.014714924,0.004067266,0.009644576,0.001692188,0.483,0.312,0.205
Bio-Photo,7,2024,Spring,3.697716667,0.351363404,3.532792518,1.26162621,2.69109,0.315381644,0.876126931,0.0224431,0.65441,0.035175897,0.91271,0.015311719,0.021531012,0.006581,0.011720562,0.002778448,0.009312844,0.001839879,0.506,0.275,0.219
Bio-Photo,14,2024,Spring,3.255222222,0.340555668,4.067111486,1.209647964,2.77877,0.24650231,0.918184843,0.080850173,0.62697,0.039417173,0.93892,0.030626501,0.019911331,0.006721924,0.008822681,0.001957435,0.009111513,0.001973651,0.526,0.233,0.241
Bio-Photo,28,2024,Spring,2.793666667,0.199673177,4.215297195,1.263019146,2.9149,0.347738521,0.893000144,0.024602329,0.58699,0.032821778,0.9687,0.051294004,0.01819836,0.00689886,0.007427887,0.001632631,0.008745051,0.001910737,0.529,0.216,0.254
Bio-Photo,0,2024,Summer,3.021888889,0.47392839,2.853798058,0.273472054,2.17567,0.205214698,1.111112249,0.013988094,0.70603,0.031915733,0.79207,0.03810942,0.024608321,0.005144183,0.024670613,0.006769844,0.009895808,0.001693926,0.416,0.417,0.167
Bio-Photo,1,2024,Summer,2.157855556,0.297498618,4.118986413,0.326101573,2.37779,0.272290113,1.036652842,0.022917414,0.67192,0.037946643,0.85479,0.036021989,0.016461202,0.004331062,0.011157922,0.00310788,0.009598276,0.001654316,0.442,0.300,0.258
Bio-Photo,2,2024,Summer,1.815731667,0.297304211,4.628937705,0.224656622,2.60989,0.12753568,0.949927321,0.01278324,0.66764,0.04086952,0.89882,0.027382504,0.014104272,0.003542877,0.009050406,0.002480386,0.009205188,0.001572203,0.436,0.280,0.284
Bio-Photo,3,2024,Summer,1.434173333,0.27031881,4.852435494,0.435439756,2.79837,0.12864763,0.970395448,0.025332668,0.65439,0.03306211,0.92537,0.027205501,0.013525226,0.00281128,0.007108112,0.000950046,0.008643986,0.00163373,0.462,0.243,0.295
Bio-Photo,7,2024,Summer,1.242144444,0.278386821,5.199177749,0.504917733,2.91243,0.068531711,0.946131507,0.02566732,0.62041,0.033514135,0.94645,0.058797963,0.012525359,0.001992814,0.006564263,0.0009104,0.008375833,0.001559161,0.456,0.239,0.305
Bio-Photo,14,2024,Summer,1.156142222,0.252489783,5.252804961,0.391567082,3.16469,0.183151386,0.956557101,0.026223454,0.59305,0.028344072,0.97577,0.050556312,0.011276491,0.00174216,0.006175803,0.000975581,0.008405052,0.001463331,0.436,0.239,0.325
Bio-Photo,28,2024,Summer,0.983905556,0.225155522,5.57485083,0.303335401,3.25349,0.18167244,0.948102654,0.023208867,0.56123,0.025650847,1.03358,0.020238525,0.00980488,0.00219145,0.005462757,0.000864035,0.008247028,0.001333851,0.417,0.232,0.351
